Cygnus version: 0.27.0
Operative system: Windows
Record datetime: 2023-05-26 13:02:43.394618
Device ID: STEEG_DG081015
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,T7,T8,O1,O2,Fz,Pz,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.047,2979229,-10831.39,28575.61,375000.0,375000.0,302193.4,238089.22,375000.0,375000.0,,,,,
0.048,2979230,-10829.58,28576.58,375000.0,375000.0,302198.05,238088.18,375000.0,375000.0,,,,,
0.049,2979231,-10824.5,28577.83,375000.0,375000.0,302196.43,238074.64,375000.0,375000.0,,,,,
0.050,2979232,-10817.81,28578.39,375000.0,375000.0,302187.81,238054.31,375000.0,375000.0,,,,,
0.051,2979233,-10811.65,28577.61,375000.0,375000.0,302174.56,238035.69,375000.0,375000.0,,,,,
0.052,2979234,-10807.76,28575.6,375000.0,375000.0,302161.17,238027.0,375000.0,375000.0,,,,,
0.053,2979235,-10806.72,28573.29,375000.0,375000.0,302152.38,238033.29,375000.0,375000.0,,,,,
0.054,2979236,-10807.82,28572.11,375000.0,375000.0,302151.13,238054.58,375000.0,375000.0,,,,,
0.055,2979237,-10809.54,28573.26,375000.0,375000.0,302157.38,238085.55,375000.0,375000.0,,,,,
0.056,2979238,-10810.42,28576.98,375000.0,375000.0,302168.08,238116.99,375000.0,375000.0,,,,,
0.057,2979239,-10809.89,28582.27,375000.0,375000.0,302178.43,238138.88,375000.0,375000.0,,,,,
0.058,2979240,-10808.55,28587.13,375000.0,375000.0,302183.87,238143.92,375000.0,375000.0,,,,,
0.059,2979241,-10807.82,28589.46,375000.0,375000.0,302182.07,238130.44,375000.0,375000.0,,,,,
0.060,2979242,-10808.99,28588.02,375000.0,375000.0,302173.97,238103.12,375000.0,375000.0,,,,,
0.061,2979243,-10812.37,28583.09,375000.0,375000.0,302163.45,238071.13,375000.0,375000.0,,,,,
0.062,2979244,-10816.89,28576.52,375000.0,375000.0,302155.62,238044.22,375000.0,375000.0,,,,,
0.063,2979245,-10820.46,28570.94,375000.0,375000.0,302154.45,238028.68,375000.0,375000.0,,,,,
0.064,2979246,-10821.03,28568.61,375000.0,375000.0,302160.87,238024.96,375000.0,375000.0,,,,,
0.065,2979247,-10817.58,28570.45,375000.0,375000.0,302172.15,238028.32,375000.0,375000.0,,,,,
0.066,2979248,-10810.77,28575.68,375000.0,375000.0,302183.08,238032.26,375000.0,375000.0,,,,,
0.067,2979249,-10802.68,28582.28,375000.0,375000.0,302188.43,238032.57,375000.0,375000.0,,,,,
0.068,2979250,-10795.8,28588.08,375000.0,375000.0,302185.53,238030.08,375000.0,375000.0,,,,,
0.069,2979251,-10791.79,28591.8,375000.0,375000.0,302175.65,238030.0,375000.0,375000.0,,,,,
0.070,2979252,-10790.69,28593.65,375000.0,375000.0,302163.54,238038.51,375000.0,375000.0,,,,,
0.071,2979253,-10790.92,28595.07,375000.0,375000.0,302155.12,238058.24,375000.0,375000.0,,,,,
0.072,2979254,-10790.21,28597.76,375000.0,375000.0,302154.55,238085.48,375000.0,375000.0,,,,,
0.073,2979255,-10786.89,28602.6,375000.0,375000.0,302162.1,238110.98,375000.0,375000.0,,,,,
0.074,2979256,-10780.94,28608.97,375000.0,375000.0,302174.09,238124.16,375000.0,375000.0,,,,,
0.075,2979257,-10774.1,28614.86,375000.0,375000.0,302184.75,238118.58,375000.0,375000.0,,,,,
0.076,2979258,-10769.17,28617.79,375000.0,375000.0,302189.35,238095.72,375000.0,375000.0,,,,,
0.077,2979259,-10768.59,28616.06,375000.0,375000.0,302186.66,238064.74,375000.0,375000.0,,,,,
