Cygnus version: 0.27.0
Operative system: Windows
Record datetime: 2023-05-26 13:01:03.639273
Device ID: STEEG_DG081015
Device verison: 
Device bandwidth: DC to 131 Hz
Device sampling rate: 1000 samples/second
Data type / unit: EEG / micro-volt (uV)
Bandpass filter: None
Notch filter: None
Timestamp,Serial Number,Fp1,Fp2,T7,T8,O1,O2,Fz,Pz,Event Id,Event Date,Event Duration,Software Marker,Software Marker Name
0.047,2890915,-11723.78,28635.89,375000.0,375000.0,300999.54,237287.23,375000.0,375000.0,,,,,
0.048,2890916,-11718.66,28641.06,375000.0,375000.0,301010.75,237302.94,375000.0,375000.0,,,,,
0.049,2890917,-11713.18,28646.51,375000.0,375000.0,301016.74,237315.86,375000.0,375000.0,,,,,
0.050,2890918,-11708.57,28650.95,375000.0,375000.0,301016.5,237320.47,375000.0,375000.0,,,,,
0.051,2890919,-11706.02,28653.38,375000.0,375000.0,301011.54,237316.0,375000.0,375000.0,,,,,
0.052,2890920,-11706.23,28653.34,375000.0,375000.0,301004.99,237306.37,375000.0,375000.0,,,,,
0.053,2890921,-11709.19,28651.02,375000.0,375000.0,300999.91,237297.65,375000.0,375000.0,,,,,
0.054,2890922,-11714.19,28647.02,375000.0,375000.0,300998.0,237294.64,375000.0,375000.0,,,,,
0.055,2890923,-11720.16,28642.06,375000.0,375000.0,300999.09,237298.29,375000.0,375000.0,,,,,
0.056,2890924,-11726.06,28636.75,375000.0,375000.0,301001.78,237305.59,375000.0,375000.0,,,,,
0.057,2890925,-11731.2,28631.45,375000.0,375000.0,301004.51,237311.5,375000.0,375000.0,,,,,
0.058,2890926,-11735.3,28626.43,375000.0,375000.0,301006.48,237312.01,375000.0,375000.0,,,,,
0.059,2890927,-11738.31,28622.01,375000.0,375000.0,301007.87,237306.35,375000.0,375000.0,,,,,
0.060,2890928,-11740.13,28618.75,375000.0,375000.0,301009.25,237297.3,375000.0,375000.0,,,,,
0.061,2890929,-11740.46,28617.37,375000.0,375000.0,301010.85,237289.45,375000.0,375000.0,,,,,
0.062,2890930,-11738.9,28618.46,375000.0,375000.0,301012.12,237286.68,375000.0,375000.0,,,,,
0.063,2890931,-11735.22,28622.2,375000.0,375000.0,301012.03,237290.08,375000.0,375000.0,,,,,
0.064,2890932,-11729.71,28628.08,375000.0,375000.0,301009.89,237297.72,375000.0,375000.0,,,,,
0.065,2890933,-11723.28,28634.97,375000.0,375000.0,301006.07,237306.01,375000.0,375000.0,,,,,
0.066,2890934,-11717.29,28641.38,375000.0,375000.0,301002.16,237311.88,375000.0,375000.0,,,,,
0.067,2890935,-11713.0,28646.01,375000.0,375000.0,301000.17,237314.39,375000.0,375000.0,,,,,
0.068,2890936,-11711.17,28648.15,375000.0,375000.0,301001.39,237314.85,375000.0,375000.0,,,,,
0.069,2890937,-11711.73,28647.89,375000.0,375000.0,301005.41,237315.57,375000.0,375000.0,,,,,
0.070,2890938,-11713.92,28645.9,375000.0,375000.0,301010.05,237318.02,375000.0,375000.0,,,,,
0.071,2890939,-11716.74,28643.1,375000.0,375000.0,301012.34,237321.62,375000.0,375000.0,,,,,
0.072,2890940,-11719.48,28640.15,375000.0,375000.0,301010.12,237323.98,375000.0,375000.0,,,,,
0.073,2890941,-11721.99,28637.23,375000.0,375000.0,301003.22,237322.31,375000.0,375000.0,,,,,
0.074,2890942,-11724.61,28634.14,375000.0,375000.0,300993.77,237315.33,375000.0,375000.0,,,,,
0.075,2890943,-11727.7,28630.6,375000.0,375000.0,300985.2,237304.3,375000.0,375000.0,,,,,
0.076,2890944,-11731.2,28626.7,375000.0,375000.0,300980.56,237292.7,375000.0,375000.0,,,,,
0.077,2890945,-11734.37,28623.08,375000.0,375000.0,300981.1,237284.56,375000.0,375000.0,,,,,
0.078,2890946,-11736.04,28620.84,375000.0,375000.0,300985.73,237282.5,375000.0,375000.0,,,,,
0.079,2890947,-11735.15,28621.05,375000.0,375000.0,300991.87,237286.42,375000.0,375000.0,,,,,
0.080,2890948,-11731.36,28624.22,375000.0,375000.0,300996.89,237293.67,375000.0,375000.0,,,,,
0.081,2890949,-11725.41,28629.94,375000.0,375000.0,300999.52,237300.47,375000.0,375000.0,,,,,
0.082,2890950,-11718.9,28636.84,375000.0,375000.0,301000.36,237303.85,375000.0,375000.0,,,,,
0.083,2890951,-11713.62,28643.07,375000.0,375000.0,301001.23,237303.0,375000.0,375000.0,,,,,
0.084,2890952,-11710.83,28646.91,375000.0,375000.0,301003.77,237299.38,375000.0,375000.0,,,,,
0.085,2890953,-11710.78,28647.42,375000.0,375000.0,301008.27,237295.6,375000.0,375000.0,,,,,
0.086,2890954,-11712.7,28644.69,375000.0,375000.0,301013.35,237293.83,375000.0,375000.0,,,,,
0.087,2890955,-11715.41,28639.66,375000.0,375000.0,301016.65,237294.61,375000.0,375000.0,,,,,
0.088,2890956,-11717.96,28633.71,375000.0,375000.0,301016.27,237296.69,375000.0,375000.0,,,,,
0.089,2890957,-11720.16,28628.04,375000.0,375000.0,301011.95,237297.94,375000.0,375000.0,,,,,
0.090,2890958,-11722.48,28623.33,375000.0,375000.0,301005.39,237296.7,375000.0,375000.0,,,,,
0.091,2890959,-11725.61,28619.71,375000.0,375000.0,300999.52,237292.79,375000.0,375000.0,,,,,
0.092,2890960,-11729.77,28616.98,375000.0,375000.0,300997.01,237287.58,375000.0,375000.0,,,,,
0.093,2890961,-11734.36,28614.98,375000.0,375000.0,300998.99,237283.24,375000.0,375000.0,,,,,
0.094,2890962,-11738.07,28613.8,375000.0,375000.0,301004.54,237281.53,375000.0,375000.0,,,,,
0.095,2890963,-11739.52,28613.76,375000.0,375000.0,301011.24,237282.87,375000.0,375000.0,,,,,
0.096,2890964,-11737.99,28615.16,375000.0,375000.0,301016.34,237286.23,375000.0,375000.0,,,,,
0.097,2890965,-11733.95,28618.01,375000.0,375000.0,301018.07,237289.71,375000.0,375000.0,,,,,
0.098,2890966,-11728.88,28621.83,375000.0,375000.0,301016.24,237291.57,375000.0,375000.0,,,,,
0.099,2890967,-11724.65,28625.78,375000.0,375000.0,301012.05,237291.06,375000.0,375000.0,,,,,
0.100,2890968,-11722.64,28628.9,375000.0,375000.0,301007.3,237288.67,375000.0,375000.0,,,,,
0.101,2890969,-11723.18,28630.55,375000.0,375000.0,301003.53,237285.79,375000.0,375000.0,,,,,
0.102,2890970,-11725.49,28630.58,375000.0,375000.0,301001.52,237283.96,375000.0,375000.0,,,,,
0.103,2890971,-11728.31,28629.31,375000.0,375000.0,301001.29,237284.26,375000.0,375000.0,,,,,
0.104,2890972,-11730.74,28627.27,375000.0,375000.0,301002.45,237286.95,375000.0,375000.0,,,,,
0.105,2890973,-11732.79,28624.89,375000.0,375000.0,301004.41,237291.57,375000.0,375000.0,,,,,
0.106,2890974,-11735.41,28622.23,375000.0,375000.0,301006.47,237297.21,375000.0,375000.0,,,,,
0.107,2890975,-11739.83,28619.0,375000.0,375000.0,301007.61,237302.77,375000.0,375000.0,,,,,
0.108,2890976,-11746.7,28614.86,375000.0,375000.0,301006.47,237307.18,375000.0,375000.0,,,,,
0.109,2890977,-11755.4,28609.73,375000.0,375000.0,301001.7,237309.44,375000.0,375000.0,,,,,
0.110,2890978,-11764.0,28604.05,375000.0,375000.0,300992.77,237308.81,375000.0,375000.0,,,,,
0.111,2890979,-11769.89,28598.81,375000.0,375000.0,300980.79,237305.13,375000.0,375000.0,,,,,
0.112,2890980,-11770.85,28595.28,375000.0,375000.0,300968.8,237299.06,375000.0,375000.0,,,,,
0.113,2890981,-11766.0,28594.57,375000.0,375000.0,300961.13,237292.26,375000.0,375000.0,,,,,
0.114,2890982,-11756.12,28597.22,375000.0,375000.0,300961.79,237287.02,375000.0,375000.0,,,,,
0.115,2890983,-11743.37,28603.0,375000.0,375000.0,300972.68,237285.56,375000.0,375000.0,,,,,
0.116,2890984,-11730.43,28610.9,375000.0,375000.0,300992.2,237289.08,375000.0,375000.0,,,,,
0.117,2890985,-11719.6,28619.47,375000.0,375000.0,301015.4,237297.14,375000.0,375000.0,,,,,
0.118,2890986,-11712.2,28627.12,375000.0,375000.0,301035.52,237307.58,375000.0,375000.0,,,,,
0.119,2890987,-11708.56,28632.53,375000.0,375000.0,301046.61,237317.26,375000.0,375000.0,,,,,
0.120,2890988,-11708.34,28634.85,375000.0,375000.0,301045.89,237323.31,375000.0,375000.0,,,,,
0.121,2890989,-11711.09,28633.74,375000.0,375000.0,301034.93,237324.29,375000.0,375000.0,,,,,
0.122,2890990,-11716.43,28629.41,375000.0,375000.0,301018.94,237320.77,375000.0,375000.0,,,,,
0.123,2890991,-11724.05,28622.44,375000.0,375000.0,301004.46,237315.04,375000.0,375000.0,,,,,
0.124,2890992,-11733.34,28613.74,375000.0,375000.0,300996.6,237310.03,375000.0,375000.0,,,,,
0.125,2890993,-11743.24,28604.4,375000.0,375000.0,300996.97,237307.98,375000.0,375000.0,,,,,
0.126,2890994,-11752.26,28595.55,375000.0,375000.0,301003.35,237309.52,375000.0,375000.0,,,,,
0.127,2890995,-11758.87,28588.19,375000.0,375000.0,301011.15,237313.55,375000.0,375000.0,,,,,
0.128,2890996,-11762.07,28583.06,375000.0,375000.0,301015.91,237317.94,375000.0,375000.0,,,,,
0.129,2890997,-11761.76,28580.5,375000.0,375000.0,301015.56,237320.7,375000.0,375000.0,,,,,
0.130,2890998,-11758.75,28580.41,375000.0,375000.0,301011.34,237320.98,375000.0,375000.0,,,,,
0.131,2890999,-11754.38,28582.35,375000.0,375000.0,301006.96,237319.42,375000.0,375000.0,,,,,
0.132,2891000,-11749.91,28585.62,375000.0,375000.0,301006.49,237317.71,375000.0,375000.0,,,,,
0.133,2891001,-11746.02,28589.46,375000.0,375000.0,301012.09,237317.6,375000.0,375000.0,,,,,
0.134,2891002,-11742.75,28593.14,375000.0,375000.0,301022.74,237319.97,375000.0,375000.0,,,,,
0.135,2891003,-11739.81,28596.02,375000.0,375000.0,301034.61,237324.27,375000.0,375000.0,,,,,
0.136,2891004,-11737.05,28597.64,375000.0,375000.0,301042.89,237328.83,375000.0,375000.0,,,,,
0.137,2891005,-11734.83,28597.73,375000.0,375000.0,301044.11,237331.62,375000.0,375000.0,,,,,
0.138,2891006,-11733.99,28596.26,375000.0,375000.0,301037.82,237331.22,375000.0,375000.0,,,,,
0.139,2891007,-11735.44,28593.5,375000.0,375000.0,301026.67,237327.5,375000.0,375000.0,,,,,
0.140,2891008,-11739.49,28590.03,375000.0,375000.0,301015.09,237321.57,375000.0,375000.0,,,,,
0.141,2891009,-11745.48,28586.63,375000.0,375000.0,301007.13,237315.28,375000.0,375000.0,,,,,
0.142,2891010,-11751.83,28584.09,375000.0,375000.0,301004.61,237310.33,375000.0,375000.0,,,,,
0.143,2891011,-11756.53,28583.05,375000.0,375000.0,301006.55,237307.61,375000.0,375000.0,,,,,
0.144,2891012,-11758.01,28583.7,375000.0,375000.0,301010.02,237306.95,375000.0,375000.0,,,,,
0.145,2891013,-11755.79,28585.78,375000.0,375000.0,301011.99,237307.37,375000.0,375000.0,,,,,
0.146,2891014,-11750.69,28588.63,375000.0,375000.0,301010.93,237307.67,375000.0,375000.0,,,,,
0.147,2891015,-11744.46,28591.44,375000.0,375000.0,301007.58,237306.96,375000.0,375000.0,,,,,
0.148,2891016,-11738.98,28593.54,375000.0,375000.0,301004.23,237305.06,375000.0,375000.0,,,,,
0.149,2891017,-11735.49,28594.61,375000.0,375000.0,301003.27,237302.39,375000.0,375000.0,,,,,
0.150,2891018,-11734.16,28594.77,375000.0,375000.0,301005.59,237299.74,375000.0,375000.0,,,,,
0.151,2891019,-11734.19,28594.39,375000.0,375000.0,301010.07,237297.9,375000.0,375000.0,,,,,
0.152,2891020,-11734.45,28593.88,375000.0,375000.0,301014.19,237297.43,375000.0,375000.0,,,,,
0.153,2891021,-11734.18,28593.37,375000.0,375000.0,301015.57,237298.56,375000.0,375000.0,,,,,
0.154,2891022,-11733.47,28592.61,375000.0,375000.0,301013.42,237301.19,375000.0,375000.0,,,,,
0.155,2891023,-11733.21,28591.02,375000.0,375000.0,301009.12,237304.96,375000.0,375000.0,,,,,
0.156,2891024,-11734.6,28587.97,375000.0,375000.0,301005.49,237309.2,375000.0,375000.0,,,,,
0.157,2891025,-11738.42,28583.17,375000.0,375000.0,301005.18,237312.99,375000.0,375000.0,,,,,
0.158,2891026,-11744.46,28576.92,375000.0,375000.0,301009.13,237315.28,375000.0,375000.0,,,,,
0.159,2891027,-11751.43,28570.21,375000.0,375000.0,301015.94,237315.2,375000.0,375000.0,,,,,
0.160,2891028,-11757.4,28564.49,375000.0,375000.0,301022.59,237312.47,375000.0,375000.0,,,,,
0.161,2891029,-11760.55,28561.19,375000.0,375000.0,301026.09,237307.74,375000.0,375000.0,,,,,
0.162,2891030,-11759.97,28561.22,375000.0,375000.0,301025.13,237302.55,375000.0,375000.0,,,,,
0.163,2891031,-11756.01,28564.54,375000.0,375000.0,301020.74,237298.85,375000.0,375000.0,,,,,
0.164,2891032,-11750.23,28570.09,375000.0,375000.0,301015.59,237298.24,375000.0,375000.0,,,,,
0.165,2891033,-11744.68,28576.19,375000.0,375000.0,301012.41,237301.18,375000.0,375000.0,,,,,
0.166,2891034,-11741.13,28581.04,375000.0,375000.0,301012.36,237306.62,375000.0,375000.0,,,,,
0.167,2891035,-11740.37,28583.5,375000.0,375000.0,301014.39,237312.3,375000.0,375000.0,,,,,
0.168,2891036,-11741.97,28583.4,375000.0,375000.0,301016.05,237315.67,375000.0,375000.0,,,,,
0.169,2891037,-11744.65,28581.6,375000.0,375000.0,301015.15,237315.0,375000.0,375000.0,,,,,
0.170,2891038,-11746.89,28579.5,375000.0,375000.0,301011.32,237310.16,375000.0,375000.0,,,,,
0.171,2891039,-11747.71,28578.36,375000.0,375000.0,301006.48,237302.73,375000.0,375000.0,,,,,
0.172,2891040,-11747.12,28578.65,375000.0,375000.0,301003.77,237295.21,375000.0,375000.0,,,,,
0.173,2891041,-11746.07,28579.82,375000.0,375000.0,301005.7,237289.87,375000.0,375000.0,,,,,
0.174,2891042,-11745.95,28580.6,375000.0,375000.0,301012.34,237287.74,375000.0,375000.0,,,,,
0.175,2891043,-11747.82,28579.71,375000.0,375000.0,301021.01,237288.37,375000.0,375000.0,,,,,
0.176,2891044,-11751.78,28576.6,375000.0,375000.0,301027.54,237290.37,375000.0,375000.0,,,,,
0.177,2891045,-11756.78,28571.94,375000.0,375000.0,301028.61,237292.44,375000.0,375000.0,,,,,
0.178,2891046,-11760.93,28567.51,375000.0,375000.0,301023.83,237294.33,375000.0,375000.0,,,,,
0.179,2891047,-11762.28,28565.44,375000.0,375000.0,301016.26,237296.97,375000.0,375000.0,,,,,
0.180,2891048,-11759.65,28567.3,375000.0,375000.0,301010.99,237301.7,375000.0,375000.0,,,,,
0.181,2891049,-11753.2,28573.24,375000.0,375000.0,301012.38,237309.1,375000.0,375000.0,,,,,
0.182,2891050,-11744.44,28581.77,375000.0,375000.0,301021.51,237317.93,375000.0,375000.0,,,,,
0.183,2891051,-11735.76,28590.26,375000.0,375000.0,301035.19,237325.19,375000.0,375000.0,,,,,
0.184,2891052,-11729.55,28595.99,375000.0,375000.0,301047.26,237327.33,375000.0,375000.0,,,,,
0.185,2891053,-11727.4,28597.16,375000.0,375000.0,301051.51,237322.14,375000.0,375000.0,,,,,
0.186,2891054,-11729.64,28593.61,375000.0,375000.0,301044.76,237310.36,375000.0,375000.0,,,,,
0.187,2891055,-11735.37,28586.74,375000.0,375000.0,301028.5,237296.06,375000.0,375000.0,,,,,
0.188,2891056,-11743.03,28578.8,375000.0,375000.0,301008.21,237285.19,375000.0,375000.0,,,,,
0.189,2891057,-11750.97,28571.88,375000.0,375000.0,300990.75,237283.06,375000.0,375000.0,,,,,
0.190,2891058,-11758.04,28567.11,375000.0,375000.0,300981.17,237291.68,375000.0,375000.0,,,,,
0.191,2891059,-11763.73,28564.39,375000.0,375000.0,300980.62,237308.37,375000.0,375000.0,,,,,
0.192,2891060,-11767.99,28562.78,375000.0,375000.0,300986.3,237326.59,375000.0,375000.0,,,,,
0.193,2891061,-11770.94,28561.24,375000.0,375000.0,300993.31,237338.56,375000.0,375000.0,,,,,
0.194,2891062,-11772.53,28559.36,375000.0,375000.0,300997.37,237338.66,375000.0,375000.0,,,,,
0.195,2891063,-11772.49,28557.59,375000.0,375000.0,300996.84,237325.99,375000.0,375000.0,,,,,
0.196,2891064,-11770.52,28557.05,375000.0,375000.0,300993.14,237304.84,375000.0,375000.0,,,,,
0.197,2891065,-11766.57,28558.79,375000.0,375000.0,300989.5,237282.88,375000.0,375000.0,,,,,
0.198,2891066,-11761.02,28563.23,375000.0,375000.0,300988.99,237267.93,375000.0,375000.0,,,,,
0.199,2891067,-11754.72,28569.77,375000.0,375000.0,300992.82,237264.76,375000.0,375000.0,,,,,
0.200,2891068,-11748.73,28577.03,375000.0,375000.0,300999.98,237273.42,375000.0,375000.0,,,,,
0.201,2891069,-11744.02,28583.37,375000.0,375000.0,301007.98,237289.73,375000.0,375000.0,,,,,
0.202,2891070,-11741.19,28587.53,375000.0,375000.0,301014.23,237307.41,375000.0,375000.0,,,,,
0.203,2891071,-11740.4,28589.08,375000.0,375000.0,301017.23,237320.83,375000.0,375000.0,,,,,
0.204,2891072,-11741.48,28588.4,375000.0,375000.0,301016.87,237326.97,375000.0,375000.0,,,,,
0.205,2891073,-11744.04,28586.33,375000.0,375000.0,301013.96,237325.9,375000.0,375000.0,,,,,
